date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:04:30	54624/54624	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Oct%202019%2009:23:01%20GMT	https://demo.zytheme.com/cryptech/elements-contact-form.html	demo.zytheme.com/cryptech/elements-contact-form.html	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:31	23308/23308	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Oct%202019%2009:23:01%20GMT	https://demo.zytheme.com/cryptech/elements-team.html	demo.zytheme.com/cryptech/elements-team.html	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:32	19639/19639	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Oct%202019%2009:23:01%20GMT	https://demo.zytheme.com/cryptech/elements-countdown.html	demo.zytheme.com/cryptech/elements-countdown.html	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:33	20514/20514	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Oct%202019%2009:23:01%20GMT	https://demo.zytheme.com/cryptech/elements-counters.html	demo.zytheme.com/cryptech/elements-counters.html	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:34	31931/31931	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Oct%202019%2009:23:01%20GMT	https://demo.zytheme.com/cryptech/elements-featured.html	demo.zytheme.com/cryptech/elements-featured.html	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:35	22889/22889	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Oct%202019%2009:23:01%20GMT	https://demo.zytheme.com/cryptech/elements-pricing.html	demo.zytheme.com/cryptech/elements-pricing.html	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:37	297809/297809	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/sliders/slide-bg/5.jpg	demo.zytheme.com/cryptech/assets/images/sliders/slide-bg/5.jpg	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:38	13626/13626	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/chart/chart2.png	demo.zytheme.com/cryptech/assets/images/chart/chart2.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:38	363050/363050	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/sliders/slide-bg/3.jpg	demo.zytheme.com/cryptech/assets/images/sliders/slide-bg/3.jpg	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:39	31884/31884	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/chart/chart3.png	demo.zytheme.com/cryptech/assets/images/chart/chart3.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:40	30499/30499	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/chart/chart4.png	demo.zytheme.com/cryptech/assets/images/chart/chart4.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:41	3787/3787	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/icons/BitcoinIcon4.png	demo.zytheme.com/cryptech/assets/images/icons/BitcoinIcon4.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:42	2866/2866	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/icons/BitcoinIcon5.png	demo.zytheme.com/cryptech/assets/images/icons/BitcoinIcon5.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:44	180763/180763	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/video/1.jpg	demo.zytheme.com/cryptech/assets/images/video/1.jpg	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:45	147131/147131	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/case/3col/1.jpg	demo.zytheme.com/cryptech/assets/images/case/3col/1.jpg	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:46	115700/115700	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/case/3col/2.jpg	demo.zytheme.com/cryptech/assets/images/case/3col/2.jpg	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:47	123339/123339	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/case/3col/3.jpg	demo.zytheme.com/cryptech/assets/images/case/3col/3.jpg	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:47	67652/67652	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/case/3col/4.jpg	demo.zytheme.com/cryptech/assets/images/case/3col/4.jpg	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:49	147273/147273	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/case/3col/5.jpg	demo.zytheme.com/cryptech/assets/images/case/3col/5.jpg	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:50	105151/105151	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/case/3col/6.jpg	demo.zytheme.com/cryptech/assets/images/case/3col/6.jpg	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:50	45523/45523	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/background/8.jpg	demo.zytheme.com/cryptech/assets/images/background/8.jpg	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:51	3694/3694	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/clients/7.png	demo.zytheme.com/cryptech/assets/images/clients/7.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
